Date,STOXX,BTC,LIBOR,SP500
6-10-2015,360.410004,240.63075,0.132,2071.92
7-10-2015,360.929993,246.49632999999997,0.1315,2072.78
8-10-2015,361.609985,244.49816,0.131,2072.83
9-10-2015,362.820007,243.25675,0.132,2073.07
12-10-2015,361.790009,247.65041000000002,NaN,2074.28
13-10-2015,358.47000099999997,244.57641,0.132,2074.33
14-10-2015,355.809998,249.45907999999997,0.132,2075.0
15-10-2015,360.98999,254.64216000000002,0.1325,2075.15
16-10-2015,363.130005,255.72741000000002,0.132,2075.32
19-10-2015,364.25,264.98625,0.1315,2075.37
20-10-2015,362.670013,264.92575,0.132,2075.81
21-10-2015,362.640015,270.49541,0.132,2076.06
22-10-2015,369.98999,267.46907999999996,0.132,2076.33
23-10-2015,377.359985,274.25325,0.1315,2076.62
26-10-2015,375.890015,284.286,0.1315,2076.78
27-10-2015,371.880005,287.83091,0.1315,2077.07
28-10-2015,375.829987,300.53566,0.132,2077.42
29-10-2015,375.700012,304.32691,0.132,2077.57
30-10-2015,375.47000099999997,326.55691,0.1248,2077.99
