Date,BTC
2-11-2015,325.64666
3-11-2015,369.51133
4-11-2015,432.46133
5-11-2015,434.31683
6-11-2015,359.586
7-11-2015,377.64099
8-11-2015,387.775
9-11-2015,370.652
10-11-2015,376.948
11-11-2015,311.702
12-11-2015,320.036
13-11-2015,337.893
14-11-2015,334.125
15-11-2015,333.951
16-11-2015,320.06
17-11-2015,337.759
18-11-2015,333.33299
19-11-2015,334.02499
20-11-2015,315.63099
21-11-2015,321.482
22-11-2015,326.365
23-11-2015,322.606
24-11-2015,320.993
25-11-2015,318.337
26-11-2015,332.471
27-11-2015,349.138
28-11-2015,354.954
29-11-2015,356.806
30-11-2015,375.204
1-12-2015,377.798
2-12-2015,352.128
3-12-2015,366.788
4-12-2015,358.443
5-12-2015,369.956
6-12-2015,394.861
7-12-2015,391.618
8-12-2015,395.59299
9-12-2015,421.424
10-12-2015,415.076
11-12-2015,421.813
12-12-2015,467.831
13-12-2015,435.091
14-12-2015,437.021
15-12-2015,453.676
16-12-2015,445.805
17-12-2015,451.102
18-12-2015,456.425
19-12-2015,464.218
20-12-2015,460.238
21-12-2015,435.64099
22-12-2015,438.276
23-12-2015,437.994
24-12-2015,456.572
25-12-2015,455.743
26-12-2015,447.606
27-12-2015,419.338
28-12-2015,427.817
29-12-2015,422.741
30-12-2015,431.029
31-12-2015,424.962
1-1-2016,432.358
2-1-2016,433.773
3-1-2016,431.985
4-1-2016,431.691
5-1-2016,433.732
6-1-2016,427.164
7-1-2016,441.021
8-1-2016,457.168
9-1-2016,452.368
10-1-2016,445.327
11-1-2016,450.312
12-1-2016,446.614
13-1-2016,431.156
14-1-2016,431.41
15-1-2016,416.29
16-1-2016,372.737
17-1-2016,383.138
18-1-2016,380.817
19-1-2016,382.738
20-1-2016,378.775
21-1-2016,417.439
22-1-2016,403.271
23-1-2016,388.219
24-1-2016,388.538
25-1-2016,397.885
26-1-2016,390.715
27-1-2016,392.389
28-1-2016,381.356
29-1-2016,369.133
30-1-2016,376.952
31-1-2016,378.174
1-2-2016,372.157
2-2-2016,372.453
3-2-2016,372.762
4-2-2016,370.433
5-2-2016,386.954
6-2-2016,377.889
7-2-2016,376.44
8-2-2016,376.924
9-2-2016,372.434
10-2-2016,374.764
11-2-2016,379.186
12-2-2016,378.576
13-2-2016,388.87
14-2-2016,397.23
15-2-2016,405.621
16-2-2016,401.663
17-2-2016,407.017
18-2-2016,417.492
19-2-2016,421.956
20-2-2016,422.054
21-2-2016,439.61
22-2-2016,436.14
23-2-2016,438.745
24-2-2016,419.896
25-2-2016,422.617
26-2-2016,421.244
27-2-2016,433.401
28-2-2016,425.502
29-2-2016,438.28
1-3-2016,436.426
2-3-2016,434.001
3-3-2016,419.254
4-3-2016,421.597
5-3-2016,407.722
6-3-2016,397.883
7-3-2016,407.276
8-3-2016,414.213
9-3-2016,410.739
10-3-2016,411.672
11-3-2016,416.708
12-3-2016,415.04
13-3-2016,411.637
14-3-2016,414.208
15-3-2016,416.034
16-3-2016,414.167
17-3-2016,417.138
18-3-2016,417.154
19-3-2016,407.473
20-3-2016,409.24
21-3-2016,407.496
22-3-2016,415.125
23-3-2016,417.318
24-3-2016,415.837
25-3-2016,414.75699
26-3-2016,416.851
27-3-2016,416.233
28-3-2016,424.297
29-3-2016,423.597
30-3-2016,414.613
31-3-2016,414.458
1-4-2016,416.012
2-4-2016,418.785
3-4-2016,418.93999
4-4-2016,418.593
5-4-2016,422.044
6-4-2016,422.29499
7-4-2016,420.553
8-4-2016,421.616
9-4-2016,415.751
10-4-2016,418.078
11-4-2016,421.192
12-4-2016,426.383
13-4-2016,426.84399
14-4-2016,425.494
15-4-2016,426.279
16-4-2016,429.775
17-4-2016,430.453
18-4-2016,429.318
19-4-2016,428.522
20-4-2016,435.926
21-4-2016,443.758
22-4-2016,446.776
23-4-2016,447.233
24-4-2016,455.152
25-4-2016,458.626
26-4-2016,464.429
27-4-2016,466.064
28-4-2016,441.304
29-4-2016,446.236
30-4-2016,454.375
1-5-2016,449.108
2-5-2016,453.067
3-5-2016,443.681
4-5-2016,449.157
5-5-2016,447.73999
6-5-2016,447.58599
7-5-2016,458.864
8-5-2016,459.937
9-5-2016,458.708
10-5-2016,460.954
11-5-2016,454.39399
12-5-2016,451.155
13-5-2016,453.701
14-5-2016,456.039
15-5-2016,456.093
16-5-2016,457.64099
17-5-2016,454.278
18-5-2016,454.064
19-5-2016,453.494
20-5-2016,440.231
21-5-2016,442.953
22-5-2016,442.892
23-5-2016,440.551
24-5-2016,444.489
25-5-2016,447.035
26-5-2016,448.278
27-5-2016,467.262
28-5-2016,489.847
29-5-2016,516.051
30-5-2016,529.917
31-5-2016,537.23299
1-6-2016,528.04999
2-6-2016,538.568
3-6-2016,537.185
4-6-2016,571.139
5-6-2016,579.343
6-6-2016,578.84899
7-6-2016,585.399
8-6-2016,576.226
9-6-2016,580.43599
10-6-2016,574.953
11-6-2016,583.87
12-6-2016,633.205
13-6-2016,682.226
14-6-2016,695.155
15-6-2016,685.442
16-6-2016,732.357
17-6-2016,773.25
18-6-2016,736.386
19-6-2016,747.831
20-6-2016,758.903
21-6-2016,702.696
22-6-2016,657.013
23-6-2016,581.249
24-6-2016,657.08999
25-6-2016,687.168
26-6-2016,657.22399
27-6-2016,644.091
28-6-2016,655.94399
29-6-2016,634.357
30-6-2016,635.093
1-7-2016,683.293
2-7-2016,678.567
3-7-2016,690.179
4-7-2016,670.741
5-7-2016,679.351
6-7-2016,676.872
7-7-2016,671.814
8-7-2016,640.476
9-7-2016,654.85299
10-7-2016,649.356
11-7-2016,656.747
12-7-2016,648.136
13-7-2016,663.443
14-7-2016,654.018
15-7-2016,663.638
16-7-2016,666.56499
17-7-2016,665.113
18-7-2016,681.239
19-7-2016,673.832
20-7-2016,673.008
21-7-2016,662.034
22-7-2016,666.747
23-7-2016,654.725
24-7-2016,654.895
25-7-2016,660.284
26-7-2016,655.418
27-7-2016,650.82899
28-7-2016,656.91599
29-7-2016,655.427
30-7-2016,656.681
31-7-2016,635.588
1-8-2016,621.37299
2-8-2016,601.227
3-8-2016,555.926
4-8-2016,578.52374
5-8-2016,570.33875
6-8-2016,574.87375
7-8-2016,588.51625
8-8-2016,589.66125
9-8-2016,586.715
10-8-2016,585.23875
11-8-2016,594.81625
12-8-2016,581.9625
13-8-2016,584.87375
14-8-2016,581.65
15-8-2016,571.9625
16-8-2016,567.60749
17-8-2016,575.54125
18-8-2016,572.37249
19-8-2016,573.01625
20-8-2016,573.08
21-8-2016,581.35375
22-8-2016,579.6675
23-8-2016,585.5075
24-8-2016,577.98749
25-8-2016,574.5825
26-8-2016,575.0625
27-8-2016,575.3425
28-8-2016,568.78875
29-8-2016,574.49749
30-8-2016,571.94125
31-8-2016,573.78125
1-9-2016,572.96
2-9-2016,570.1
3-9-2016,572.52125
4-9-2016,596.45375
5-9-2016,606.0525
6-9-2016,604.465
7-9-2016,609.4325
8-9-2016,613.67499
9-9-2016,623.6
10-9-2016,620.59875
11-9-2016,622.03375
12-9-2016,604.8275
13-9-2016,607.03625
14-9-2016,606.885
15-9-2016,606.8975
16-9-2016,605.52125
17-9-2016,606.04625
18-9-2016,605.08
19-9-2016,609.37249
20-9-2016,606.7175
21-9-2016,595.93375
22-9-2016,596.225
23-9-2016,595.0175
24-9-2016,602.4075
25-9-2016,601.36875
26-9-2016,598.9075
27-9-2016,605.0175
28-9-2016,602.885
29-9-2016,603.58124
30-9-2016,604.52125
1-10-2016,610.58375
2-10-2016,613.23749
3-10-2016,611.88874
4-10-2016,609.495
5-10-2016,608.125
6-10-2016,610.57
7-10-2016,610.23375
8-10-2016,617.445
9-10-2016,614.59625
10-10-2016,615.91625
11-10-2016,618.3275
12-10-2016,637.21624
13-10-2016,637.73625
14-10-2016,635.88375
15-10-2016,638.975
16-10-2016,638.605
17-10-2016,636.635
18-10-2016,637.01625
19-10-2016,634.605
20-10-2016,626.36875
21-10-2016,629.61249
22-10-2016,630.61875
23-10-2016,650.895
24-10-2016,647.69375
25-10-2016,652.235
26-10-2016,657.05625
27-10-2016,684.3775
28-10-2016,684.2975
29-10-2016,700.135
30-10-2016,704.91
31-10-2016,693.89625
1-11-2016,708.955
2-11-2016,725.6925
3-11-2016,741.84875
4-11-2016,701.21875
5-11-2016,702.175
6-11-2016,705.47875
7-11-2016,705.47125
8-11-2016,706.13375
9-11-2016,728.36125
10-11-2016,719.2525
11-11-2016,714.57125
12-11-2016,715.7725
13-11-2016,694.72125
14-11-2016,704.62125
15-11-2016,711.39625
16-11-2016,710.9275
17-11-2016,745.92625
18-11-2016,738.665
19-11-2016,748.8075
20-11-2016,752.5525
21-11-2016,730.365
22-11-2016,734.84
23-11-2016,745.97875
24-11-2016,739.81875
25-11-2016,730.3125
26-11-2016,737.4025
27-11-2016,727.445
28-11-2016,731.9
29-11-2016,731.12625
30-11-2016,731.64
1-12-2016,744.1025
2-12-2016,766.5925
3-12-2016,769.915
4-12-2016,764.3575
5-12-2016,760.1
6-12-2016,754.82625
7-12-2016,758.35375
8-12-2016,763.23625
9-12-2016,766.8725
10-12-2016,773.2825
11-12-2016,765.9525
12-12-2016,769.8275
13-12-2016,774.38625
14-12-2016,778.35625
15-12-2016,776.9825
16-12-2016,776.415
17-12-2016,786.9725
18-12-2016,789.24625
19-12-2016,791
20-12-2016,789.2325
21-12-2016,805.79625
22-12-2016,842.63875
23-12-2016,910.9325
24-12-2016,910.2475
25-12-2016,870.13125
26-12-2016,905.45625
27-12-2016,900.36625
28-12-2016,948.89875
29-12-2016,971.645
30-12-2016,954.84375
31-12-2016,952.455
1-1-2017,964.325
2-1-2017,1009.97375
3-1-2017,1028.33375
4-1-2017,1047.09999
5-1-2017,1140.385
6-1-2017,985.93875
7-1-2017,837.83625
8-1-2017,923.52375
9-1-2017,889.33875
10-1-2017,905.22625
11-1-2017,910.60625
