Date,STOXX
14-10-2016,339.950012
17-10-2016,337.420013
18-10-2016,342.480011
19-10-2016,343.640015
20-10-2016,344.290009
21-10-2016,344.290009
24-10-2016,344.26001
25-10-2016,343.070007
26-10-2016,341.76001
27-10-2016,341.709991
28-10-2016,340.799988
31-10-2016,338.970001
1-11-2016,335.329987
2-11-2016,331.549988
3-11-2016,331.559998
4-11-2016,328.799988
7-11-2016,333.839996
8-11-2016,334.910004
9-11-2016,339.809998
10-11-2016,338.880005
11-11-2016,337.5
14-11-2016,338.230011
15-11-2016,339.160004
16-11-2016,338.470001
17-11-2016,340.600006
18-11-2016,339.390015
21-11-2016,340.230011
22-11-2016,341.019989
23-11-2016,340.769989
24-11-2016,341.839996
25-11-2016,342.450012
28-11-2016,339.829987
29-11-2016,340.950012
30-11-2016,341.98999
1-12-2016,340.859985
2-12-2016,339.359985
5-12-2016,341.269989
6-12-2016,344.570007
7-12-2016,347.700012
8-12-2016,351.959991
9-12-2016,355.380005
12-12-2016,353.73999
13-12-2016,357.5
14-12-2016,355.720001
15-12-2016,358.790009
16-12-2016,360.019989
19-12-2016,359.589996
20-12-2016,361.320007
21-12-2016,360.559998
22-12-2016,359.820007
23-12-2016,359.980011
27-12-2016,360.480011
28-12-2016,361.529999
29-12-2016,360.26001
30-12-2016,361.420013
3-1-2017,365.709991
4-1-2017,365.26001
5-1-2017,365.640015
6-1-2017,365.450012
9-1-2017,363.670013
10-1-2017,364.070007
11-1-2017,364.899994
12-1-2017,362.51001
13-1-2017,365.940002
16-1-2017,362.970001
17-1-2017,362.420013
18-1-2017,363.070007
19-1-2017,362.850006
20-1-2017,362.579987
23-1-2017,361.01001
24-1-2017,361.920013
25-1-2017,366.589996
26-1-2017,367.5
27-1-2017,366.380005
30-1-2017,362.549988
31-1-2017,360.119995
1-2-2017,363.200012
2-2-2017,361.950012
3-2-2017,364.070007
6-2-2017,361.600006
7-2-2017,362.73999
8-2-2017,363.940002
9-2-2017,366.790009
10-2-2017,367.390015
13-2-2017,370.130005
14-2-2017,370.200012
15-2-2017,371.470001
16-2-2017,370.100006
17-2-2017,370.220001
20-2-2017,371.040009
21-2-2017,373.399994
22-2-2017,373.380005
23-2-2017,372.850006
24-2-2017,370.01001
27-2-2017,369.519989
28-2-2017,370.23999
1-3-2017,375.690002
2-3-2017,375.609985
3-3-2017,375.230011
6-3-2017,373.269989
7-3-2017,372.269989
8-3-2017,372.579987
9-3-2017,372.890015
10-3-2017,373.230011
13-3-2017,374.640015
14-3-2017,373.459991
15-3-2017,375.100006
16-3-2017,377.730011
17-3-2017,378.320007
20-3-2017,377.679993
21-3-2017,375.670013
22-3-2017,374.029999
23-3-2017,377.200012
24-3-2017,376.51001
27-3-2017,375.01001
28-3-2017,377.299988
29-3-2017,378.529999
30-3-2017,380.459991
31-3-2017,381.140015
3-4-2017,379.290009
4-4-2017,380.029999
5-4-2017,380.089996
6-4-2017,380.769989
7-4-2017,381.26001
10-4-2017,381.25
11-4-2017,381.179993
12-4-2017,381.899994
13-4-2017,380.579987
18-4-2017,376.350006
19-4-2017,377.23999
20-4-2017,378.059998
21-4-2017,378.119995
24-4-2017,386.089996
25-4-2017,386.910004
26-4-2017,388.730011
27-4-2017,387.790009
28-4-2017,387.089996
2-5-2017,389.529999
3-5-2017,389.369995
4-5-2017,391.980011
5-5-2017,394.540009
8-5-2017,394.040009
9-5-2017,395.809998
10-5-2017,396.450012
11-5-2017,394.390015
12-5-2017,395.630005
15-5-2017,395.970001
16-5-2017,395.910004
17-5-2017,391.140015
18-5-2017,389.190002
19-5-2017,391.51001
22-5-2017,391.140015
23-5-2017,392.019989
24-5-2017,392.369995
26-5-2017,391.350006
29-5-2017,391.25
30-5-2017,390.5
31-5-2017,389.98999
1-6-2017,391.660004
2-6-2017,392.549988
6-6-2017,389.399994
7-6-2017,389.179993
8-6-2017,389.149994
9-6-2017,390.390015
12-6-2017,386.619995
13-6-2017,388.75
14-6-2017,387.579987
15-6-2017,386.049988
16-6-2017,388.600006
19-6-2017,391.940002
20-6-2017,389.209991
21-6-2017,388.5
22-6-2017,388.529999
23-6-2017,387.619995
26-6-2017,389.049988
27-6-2017,385.980011
28-6-2017,385.820007
29-6-2017,380.660004
30-6-2017,379.369995
3-7-2017,383.410004
4-7-2017,382.299988
5-7-2017,382.98999
6-7-2017,380.429993
7-7-2017,380.179993
10-7-2017,381.640015
11-7-2017,379.149994
12-7-2017,384.899994
13-7-2017,386.140015
14-7-2017,386.839996
17-7-2017,386.859985
18-7-2017,382.579987
19-7-2017,385.540009
20-7-2017,384.070007
21-7-2017,380.160004
24-7-2017,379.230011
25-7-2017,380.769989
26-7-2017,382.73999
27-7-2017,382.320007
28-7-2017,378.339996
31-7-2017,377.850006
2-8-2017,378.630005
3-8-2017,378.929993
4-8-2017,382.529999
7-8-2017,382.01001
8-8-2017,382.649994
9-8-2017,379.839996
10-8-2017,376.049988
11-8-2017,372.140015
