Date,FX
17-11-2016,1.070664
18-11-2016,1.062304
21-11-2016,1.058425
22-11-2016,1.063886
23-11-2016,1.063377
24-11-2016,1.054519
25-11-2016,1.056189
28-11-2016,1.061233
29-11-2016,1.062135
30-11-2016,1.064849
1-12-2016,1.05921
2-12-2016,1.066314
5-12-2016,1.058201
6-12-2016,1.075732
7-12-2016,1.072041
8-12-2016,1.076195
9-12-2016,1.062135
12-12-2016,1.054741
13-12-2016,1.064169
14-12-2016,1.062925
15-12-2016,1.051414
16-12-2016,1.041884
19-12-2016,1.044998
20-12-2016,1.040583
21-12-2016,1.039047
22-12-2016,1.042862
23-12-2016,1.043765
26-12-2016,1.045478
27-12-2016,1.045697
28-12-2016,1.046233
29-12-2016,1.041699
30-12-2016,1.05753
2-1-2017,1.052698
3-1-2017,1.046003
4-1-2017,1.041992
5-1-2017,1.050089
6-1-2017,1.060592
9-1-2017,1.053186
10-1-2017,1.058862
11-1-2017,1.055242
12-1-2017,1.059771
13-1-2017,1.061684
16-1-2017,1.062869
17-1-2017,1.060299
18-1-2017,1.069679
19-1-2017,1.062778
20-1-2017,1.065973
23-1-2017,1.071375
24-1-2017,1.076079
25-1-2017,1.072869
26-1-2017,1.075199
27-1-2017,1.068296
30-1-2017,1.071398
31-1-2017,1.070859
1-2-2017,1.08038
2-2-2017,1.076739
3-2-2017,1.076171
6-2-2017,1.078295
7-2-2017,1.074322
8-2-2017,1.067806
9-2-2017,1.069221
10-2-2017,1.065859
13-2-2017,1.061954
14-2-2017,1.05985
15-2-2017,1.057832
16-2-2017,1.060738
17-2-2017,1.067225
20-2-2017,1.062665
21-2-2017,1.06094
22-2-2017,1.054207
23-2-2017,1.055409
24-2-2017,1.058447
27-2-2017,1.055275
28-2-2017,1.058425
1-3-2017,1.056915
2-3-2017,1.053585
3-3-2017,1.050972
6-3-2017,1.062045
7-3-2017,1.057921
8-3-2017,1.057015
9-3-2017,1.054741
10-3-2017,1.057843
13-3-2017,1.069004
14-3-2017,1.065144
15-3-2017,1.061244
16-3-2017,1.073791
17-3-2017,1.07747
20-3-2017,1.074299
21-3-2017,1.073768
22-3-2017,1.081245
23-3-2017,1.079016
24-3-2017,1.078388
27-3-2017,1.084952
28-3-2017,1.086095
29-3-2017,1.081771
30-3-2017,1.075963
31-3-2017,1.068707
3-4-2017,1.066883
4-4-2017,1.067008
5-4-2017,1.068034
6-4-2017,1.067247
7-4-2017,1.064464
10-4-2017,1.058201
11-4-2017,1.05976
12-4-2017,1.061132
13-4-2017,1.067065
14-4-2017,1.061639
17-4-2017,1.061053
18-4-2017,1.064453
19-4-2017,1.072869
20-4-2017,1.071501
21-4-2017,1.07149
24-4-2017,1.087394
25-4-2017,1.086484
26-4-2017,1.092825
27-4-2017,1.090893
28-4-2017,1.086425
1-5-2017,1.09075
2-5-2017,1.090893
3-5-2017,1.093565
4-5-2017,1.088898
5-5-2017,1.098153
8-5-2017,1.096515
9-5-2017,1.092777
10-5-2017,1.088684
11-5-2017,1.087075
12-5-2017,1.086496
15-5-2017,1.092729
16-5-2017,1.098177
17-5-2017,1.109398
18-5-2017,1.115636
19-5-2017,1.111358
22-5-2017,1.120486
23-5-2017,1.123886
24-5-2017,1.117931
25-5-2017,1.123091
26-5-2017,1.121076
29-5-2017,1.117606
30-5-2017,1.112904
31-5-2017,1.117169
1-6-2017,1.124354
2-6-2017,1.121579
5-6-2017,1.128083
6-6-2017,1.125682
7-6-2017,1.127142
8-6-2017,1.125518
9-6-2017,1.118481
12-6-2017,1.120197
13-6-2017,1.11962
14-6-2017,1.120888
15-6-2017,1.121579
16-6-2017,1.114691
19-6-2017,1.120825
20-6-2017,1.114455
